model,homophily,training_seed,knn10_purity,cross_graph_purity,same_graph_fraction,same_edge_cosine,different_edge_cosine,edge_cosine_gap
HiD-Net,Low,42,0.1773275284661755,0.15122237106496988,0.22059611520428668,0.5311452746391296,0.46284618973731995,0.06829908490180969
HiD-Net,Low,43,0.185264567983925,0.15440388479571335,0.26863697253851304,0.5490623712539673,0.48388397693634033,0.06517839431762695
HiD-Net,Low,44,0.18002344273275284,0.1510549229738781,0.24527796383121234,0.5431509613990784,0.47049692273139954,0.07265403866767883
HiD-Net,Medium,42,0.27972203616878766,0.22766242464835904,0.2284996651038178,0.521492600440979,0.39283478260040283,0.12865781784057617
HiD-Net,Medium,43,0.2744641661085064,0.22377762893503014,0.21774949765572674,0.5040686130523682,0.373653382062912,0.13041523098945618
HiD-Net,Medium,44,0.2775117213663764,0.22640656396517078,0.22521768251841928,0.5074737071990967,0.37892040610313416,0.12855330109596252
HiD-Net,High,42,0.6219189551239116,0.5287006028131279,0.3301071667782987,0.6474175453186035,0.44744181632995605,0.19997572898864746
HiD-Net,High,43,0.6134795713328868,0.5221031480241125,0.3214668452779638,0.6346738338470459,0.4376038908958435,0.1970699429512024
HiD-Net,High,44,0.6300904219691895,0.5344440723375754,0.33996985934360346,0.6465250849723816,0.4501718282699585,0.1963532567024231
MTGCN,Low,42,0.17508372404554587,0.1534326858673811,0.19467515070328198,0.4660986363887787,0.38851749897003174,0.07758113741874695
MTGCN,Low,43,0.17915271265907567,0.15592766242464837,0.1844943067649029,0.45590126514434814,0.370285302400589,0.08561596274375916
MTGCN,Low,44,0.1804085733422639,0.15684862692565305,0.20746818486269256,0.47195807099342346,0.3896715044975281,0.08228656649589539
MTGCN,Medium,42,0.24335231078365707,0.20614534494306766,0.1853148024112525,0.4462924599647522,0.3264904320240021,0.11980202794075012
MTGCN,Medium,43,0.23400870730073678,0.20242799732083055,0.15698258539852647,0.41619351506233215,0.2849689722061157,0.13122454285621643
MTGCN,Medium,44,0.23938379102478233,0.20498995311453455,0.1766912257200268,0.43654781579971313,0.3143543004989624,0.12219351530075073
MTGCN,High,42,0.5143670462156732,0.4531480241125251,0.19310113864701942,0.5300644040107727,0.35209470987319946,0.17796969413757324
MTGCN,High,43,0.5502511721366377,0.4786838580040188,0.2291527126590757,0.5511683821678162,0.3726844787597656,0.17848390340805054
MTGCN,High,44,0.5444909578030811,0.4743469524447422,0.2240790354989953,0.5486841201782227,0.37236523628234863,0.17631888389587402
AdvDIFFormer,Low,42,0.22675820495646348,0.17737776289350302,0.44889484259879436,0.5099643468856812,0.4227128028869629,0.08725154399871826
AdvDIFFormer,Low,43,0.237073007367716,0.17948760884125922,0.5683858004018755,0.5127682089805603,0.4225110113620758,0.0902571976184845
AdvDIFFormer,Low,44,0.23715673141326188,0.18466175485599468,0.5421969189551239,0.4963319003582001,0.40222030878067017,0.09411159157752991
AdvDIFFormer,Medium,42,0.2765572672471534,0.20398526456798396,0.5256363027461487,0.6057786345481873,0.5439931154251099,0.06178551912307739
AdvDIFFormer,Medium,43,0.2764902880107167,0.20398526456798394,0.5359511051574012,0.5954149961471558,0.5334157347679138,0.06199926137924194
AdvDIFFormer,Medium,44,0.27165103817816477,0.2020261219022103,0.5112190221031481,0.5974520444869995,0.5350233316421509,0.06242871284484863
AdvDIFFormer,High,42,0.5233255190890824,0.3869892833221701,0.3905056932350971,0.5111746788024902,0.24715352058410645,0.2640211582183838
AdvDIFFormer,High,43,0.5330709979906229,0.3900870730073677,0.4080877427997321,0.4991702139377594,0.22399088740348816,0.27517932653427124
AdvDIFFormer,High,44,0.529286671131949,0.3868385800401875,0.4045713328868051,0.5111945867538452,0.24321334064006805,0.26798123121261597
GREAD,Low,42,0.20003348961821835,0.17345947756195582,0.178516409912927,0.6953690648078918,0.6376252770423889,0.05774378776550293
GREAD,Low,43,0.20574346952444741,0.1757535164099129,0.20194239785666443,0.702386200428009,0.6466025710105896,0.055783629417419434
GREAD,Low,44,0.21577361018084393,0.17814802411252514,0.23991962491627594,0.7097460031509399,0.6514878869056702,0.058258116245269775
GREAD,Medium,42,0.2495144005358339,0.20271265907568656,0.2620227729403885,0.8440914154052734,0.8162347078323364,0.02785670757293701
GREAD,Medium,43,0.24117548559946417,0.1985432016075017,0.23804420629604822,0.8412269949913025,0.8156037926673889,0.025623202323913574
GREAD,Medium,44,0.24840924313462825,0.20249497655726725,0.25925987943737444,0.8455001711845398,0.8191424608230591,0.026357710361480713
GREAD,High,42,0.4068821165438714,0.32638981915606163,0.24392163429336905,0.8466250896453857,0.8042632341384888,0.04236185550689697
GREAD,High,43,0.4053918285331547,0.3249832551908908,0.24574681848626925,0.8473823070526123,0.806878924369812,0.04050338268280029
GREAD,High,44,0.39089082384460816,0.31821835231078366,0.22062960482250502,0.844809889793396,0.8042965531349182,0.04051333665847778
