model,homophily,training_seed,seed,nmi
HiD-Net,Low,42,0,0.16111351808752544
HiD-Net,Low,42,1,0.15862501966783563
HiD-Net,Low,42,2,0.15607720773812145
HiD-Net,Low,42,3,0.16115422204318341
HiD-Net,Low,42,4,0.1606802307093279
HiD-Net,Low,42,5,0.15733690752412988
HiD-Net,Low,42,6,0.16097147617242874
HiD-Net,Low,42,7,0.15545175301124278
HiD-Net,Low,42,8,0.15466949914339959
HiD-Net,Low,42,9,0.15955124439343682
HiD-Net,Low,42,10,0.16021935153841232
HiD-Net,Low,42,11,0.15562796882716057
HiD-Net,Low,42,12,0.16251765171089647
HiD-Net,Low,42,13,0.16236352899666487
HiD-Net,Low,42,14,0.15891398838971862
HiD-Net,Low,42,15,0.16378658329279794
HiD-Net,Low,42,16,0.15235669295762075
HiD-Net,Low,42,17,0.15853367069480684
HiD-Net,Low,42,18,0.15585205989734394
HiD-Net,Low,42,19,0.155829126606035
HiD-Net,Low,43,0,0.1633177839108176
HiD-Net,Low,43,1,0.1599729183018738
HiD-Net,Low,43,2,0.16463805376550378
HiD-Net,Low,43,3,0.1591883239081522
HiD-Net,Low,43,4,0.16296829833273896
HiD-Net,Low,43,5,0.16594977598712365
HiD-Net,Low,43,6,0.16186556705838615
HiD-Net,Low,43,7,0.1656754029218384
HiD-Net,Low,43,8,0.16671668416244873
HiD-Net,Low,43,9,0.16126895581694245
HiD-Net,Low,43,10,0.16616135431486603
HiD-Net,Low,43,11,0.16237534649472035
HiD-Net,Low,43,12,0.16603352251570774
HiD-Net,Low,43,13,0.16505245858427978
HiD-Net,Low,43,14,0.1613069588140779
HiD-Net,Low,43,15,0.16697391756044527
HiD-Net,Low,43,16,0.16114339900381233
HiD-Net,Low,43,17,0.16136304030390697
HiD-Net,Low,43,18,0.16368528471675278
HiD-Net,Low,43,19,0.16659056997729524
HiD-Net,Low,44,0,0.1626940907528579
HiD-Net,Low,44,1,0.1674890350927756
HiD-Net,Low,44,2,0.16200812380727864
HiD-Net,Low,44,3,0.16517404917407535
HiD-Net,Low,44,4,0.16041087764933346
HiD-Net,Low,44,5,0.16069691852671397
HiD-Net,Low,44,6,0.15978984288183318
HiD-Net,Low,44,7,0.16161748910186233
HiD-Net,Low,44,8,0.1624056871593084
HiD-Net,Low,44,9,0.15785675343550143
HiD-Net,Low,44,10,0.16299441798693529
HiD-Net,Low,44,11,0.16425159412657578
HiD-Net,Low,44,12,0.15931200177700816
HiD-Net,Low,44,13,0.16031627335339568
HiD-Net,Low,44,14,0.16094262479047558
HiD-Net,Low,44,15,0.1659237299487685
HiD-Net,Low,44,16,0.16593038545616312
HiD-Net,Low,44,17,0.16040078890772447
HiD-Net,Low,44,18,0.16763331808289186
HiD-Net,Low,44,19,0.16098631090011722
HiD-Net,Medium,42,0,0.23178782632748357
HiD-Net,Medium,42,1,0.23412343080565773
HiD-Net,Medium,42,2,0.22620063340113156
HiD-Net,Medium,42,3,0.22625295912878413
HiD-Net,Medium,42,4,0.2333579794180562
HiD-Net,Medium,42,5,0.22775622129573544
HiD-Net,Medium,42,6,0.2262819597158342
HiD-Net,Medium,42,7,0.22528442615099706
HiD-Net,Medium,42,8,0.2240504602824473
HiD-Net,Medium,42,9,0.22526966428691553
HiD-Net,Medium,42,10,0.23304499271102605
HiD-Net,Medium,42,11,0.2271896751728817
HiD-Net,Medium,42,12,0.23061534450359933
HiD-Net,Medium,42,13,0.23014336910236008
